#{"t_start": 1752536160.0332599, "env_id": "SafeCartPole-v0"}
r,l,t,c
25.0,25,26.658423,25.0
45.0,45,26.697854,45.0
34.0,34,26.727512,34.0
67.0,84,26.800464,67.0
52.0,140,26.921989,52.0
80.0,88,26.998485,80.0
101.0,101,27.086057,101.0
21.0,21,27.104316,21.0
39.0,39,27.138292,39.0
34.0,34,27.167835,34.0
71.0,112,27.26524,71.0
27.0,27,27.288873,27.0
107.0,128,27.401854,107.0
66.0,127,27.937542,66.0
68.0,76,28.003513,68.0
36.0,53,28.049712,36.0
61.0,73,28.113008,61.0
15.0,15,28.126047,15.0
107.0,115,28.226453,107.0
76.0,76,28.292546,76.0
78.0,78,28.360393,78.0
60.0,115,28.460143,60.0
98.0,101,28.547658,98.0
82.0,82,28.618705,82.0
82.0,82,28.689941,82.0
70.0,70,28.750681,70.0
35.0,40,28.785712,35.0
71.0,107,28.879154,71.0
67.0,67,28.93735,67.0
33.0,144,29.063294,33.0
27.0,188,29.226326,27.0
190.0,196,29.397228,190.0
104.0,111,29.49484,104.0
88.0,98,29.580547,88.0
30.0,30,29.606628,30.0
74.0,80,30.098237,74.0
177.0,177,30.252053,177.0
66.0,68,30.310933,66.0
116.0,125,30.419412,116.0
42.0,42,30.456036,42.0
126.0,183,30.615287,126.0
47.0,82,30.68636,47.0
21.0,21,30.704889,21.0
67.0,67,30.763038,67.0
80.0,113,30.861077,80.0
39.0,39,30.894917,39.0
66.0,160,31.033737,66.0
59.0,59,31.085156,59.0
100.0,100,31.171964,100.0
73.0,101,31.259636,73.0
53.0,142,31.382954,53.0
29.0,29,31.408643,29.0
34.0,34,31.438826,34.0
85.0,85,31.514048,85.0
65.0,71,31.576511,65.0
56.0,56,31.625787,56.0
92.0,92,31.706907,92.0
37.0,193,32.299785,37.0
44.0,44,32.338004,44.0
44.0,53,32.384076,44.0
25.0,25,32.405827,25.0
59.0,89,32.483061,59.0
41.0,41,32.519069,41.0
24.0,24,32.540057,24.0
63.0,63,32.594901,63.0
94.0,100,32.681766,94.0
43.0,128,32.792776,43.0
34.0,34,32.822348,34.0
45.0,90,32.900314,45.0
107.0,107,32.993145,107.0
60.0,60,33.045564,60.0
41.0,41,33.081059,41.0
24.0,24,33.101888,24.0
48.0,48,33.143848,48.0
64.0,64,33.199536,64.0
31.0,31,33.226418,31.0
31.0,31,33.253359,31.0
24.0,24,33.274248,24.0
40.0,40,33.308984,40.0
71.0,71,33.370561,71.0
43.0,43,33.407811,43.0
14.0,14,33.420017,14.0
129.0,164,33.56443,129.0
46.0,119,33.668141,46.0
89.0,119,33.772016,89.0
87.0,87,33.847796,87.0
61.0,61,33.90072,61.0
52.0,52,33.945832,52.0
57.0,76,34.011809,57.0
73.0,78,34.503805,73.0
21.0,21,34.522078,21.0
18.0,18,34.537701,18.0
45.0,45,34.57679,45.0
136.0,136,34.694704,136.0
90.0,96,34.777721,90.0
79.0,87,34.85308,79.0
114.0,114,34.951896,114.0
47.0,47,34.992946,47.0
25.0,30,35.019006,25.0
29.0,49,35.061474,29.0
54.0,54,35.108296,54.0
46.0,46,35.148214,46.0
84.0,95,35.230683,84.0
80.0,86,35.305226,80.0
98.0,142,35.428638,98.0
34.0,34,35.458245,34.0
31.0,31,35.485393,31.0
38.0,38,35.518984,38.0
70.0,81,35.590039,70.0
63.0,68,35.649767,63.0
75.0,122,35.756377,75.0
78.0,78,35.826956,78.0
38.0,52,35.873512,38.0
85.0,94,35.956667,85.0
78.0,85,36.031631,78.0
47.0,58,36.082863,47.0
90.0,129,36.196923,90.0
87.0,104,36.715998,87.0
30.0,30,36.742177,30.0
55.0,55,36.79028,55.0
64.0,122,36.896882,64.0
73.0,73,36.960794,73.0
96.0,96,37.045293,96.0
115.0,115,37.145897,115.0
77.0,87,37.222178,77.0
47.0,200,37.396764,47.0
40.0,40,37.432109,40.0
40.0,40,37.467114,40.0
113.0,165,37.612286,113.0
31.0,47,37.653756,31.0
33.0,33,37.682753,33.0
41.0,130,37.797036,41.0
44.0,44,37.835914,44.0
21.0,21,37.854419,21.0
79.0,180,38.011445,79.0
87.0,103,38.101188,87.0
106.0,129,38.213632,106.0
51.0,63,38.268812,51.0
50.0,50,38.312318,50.0
75.0,148,38.441231,75.0
41.0,54,38.911774,41.0
84.0,93,38.992623,84.0
68.0,73,39.056281,68.0
200.0,200,39.230083,200.0
61.0,162,39.37098,61.0
40.0,53,39.417067,40.0
27.0,42,39.453606,27.0
63.0,182,39.612438,63.0
56.0,56,39.661704,56.0
40.0,167,39.807522,40.0
15.0,23,39.827654,15.0
110.0,189,39.992142,110.0
48.0,48,40.033769,48.0
78.0,86,40.108528,78.0
76.0,176,40.261535,76.0
62.0,68,40.320526,62.0
39.0,121,40.425485,39.0
41.0,41,40.46115,41.0
87.0,95,40.543525,87.0
30.0,162,41.106467,30.0
80.0,200,41.280478,80.0
73.0,79,41.349397,73.0
49.0,49,41.392014,49.0
46.0,118,41.495075,46.0
83.0,95,41.578634,83.0
101.0,110,41.675786,101.0
70.0,80,41.74633,70.0
43.0,43,41.784245,43.0
84.0,90,41.863916,84.0
28.0,28,41.888639,28.0
47.0,114,41.98909,47.0
58.0,130,42.103765,58.0
55.0,64,42.160171,55.0
46.0,123,42.2679,46.0
53.0,53,42.31389,53.0
18.0,18,42.329607,18.0
85.0,92,42.409401,85.0
99.0,99,42.495481,99.0
78.0,78,42.563809,78.0
80.0,91,42.643394,80.0
23.0,23,42.663439,23.0
98.0,112,42.76062,98.0
33.0,61,42.813613,33.0
96.0,96,43.32211,96.0
55.0,163,43.463988,55.0
143.0,180,43.619971,143.0
52.0,134,43.737888,52.0
74.0,200,43.912998,74.0
68.0,76,43.979559,68.0
129.0,130,44.092779,129.0
37.0,37,44.124996,37.0
55.0,125,44.234298,55.0
72.0,78,44.302161,72.0
74.0,81,44.372692,74.0
126.0,135,44.490116,126.0
50.0,200,44.663936,50.0
36.0,123,44.771083,36.0
54.0,63,44.825829,54.0
37.0,37,44.858008,37.0
43.0,56,44.906707,43.0
40.0,40,44.941476,40.0
92.0,200,45.537504,92.0
29.0,85,45.611545,29.0
37.0,200,45.786747,37.0
73.0,152,45.920586,73.0
29.0,148,46.049647,29.0
74.0,81,46.120345,74.0
81.0,81,46.190608,81.0
42.0,140,46.312414,42.0
31.0,31,46.339344,31.0
32.0,115,46.439197,32.0
67.0,185,46.601809,67.0
35.0,35,46.63291,35.0
111.0,114,46.732892,111.0
49.0,49,46.775681,49.0
70.0,78,46.843501,70.0
37.0,175,46.99602,37.0
37.0,39,47.03008,37.0
61.0,61,47.08314,61.0
94.0,108,47.177061,94.0
62.0,165,47.744175,62.0
81.0,84,47.818393,81.0
82.0,89,47.896685,82.0
59.0,200,48.071649,59.0
93.0,150,48.202862,93.0
68.0,68,48.262861,68.0
73.0,161,48.403172,73.0
124.0,148,48.532194,124.0
123.0,142,48.655383,123.0
98.0,98,48.740459,98.0
36.0,36,48.771647,36.0
72.0,82,48.842747,72.0
55.0,157,48.978961,55.0
87.0,94,49.060688,87.0
