time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/entropy_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/clip_range,train/value_loss,train/learning_rate,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_object_ep_length,eval/mean_score_ep_length,eval/mean_object_reward,eval/mean_score_reward
64,5532,355328,347,-1.389555498957634,0.016357421875,0.5859712958335876,1384,0.0013742838,-0.00041640725976321846,0.09291392000000001,0.09880683338269591,0.00023228480000000003,0.029563000425696373,-19.73,4145.39,,,,
64,5546,356352,348,-1.3944870755076408,0.0380859375,0.675323486328125,1388,0.0017353641,-0.00017392450536135584,0.09289344,0.08376461546868086,0.0002322336,0.019946452230215073,-19.71,4155.59,,,,
64,5562,357376,349,-1.388823352754116,0.02734375,0.7385767698287964,1392,0.0015923962,-0.00044625527516473085,0.09287296,0.06177431996911764,0.00023218240000000002,0.015565622597932816,-19.66,4170.67,,,,
64,5577,358400,350,-1.3926056027412415,0.067138671875,0.6713595986366272,1396,0.0018925446,-0.001470004383008927,0.09285248000000002,0.08792675705626607,0.00023213120000000002,0.01918899640440941,-19.64,4184.76,,,,
64,5593,359424,351,-1.3949899226427078,0.0458984375,0.5745900869369507,1400,0.0006304847,-0.0016440624895039946,0.09283200000000001,0.06076844851486385,0.00023208000000000001,0.01276698149740696,-19.64,4184.76,,,,
64,5607,360448,352,-1.3911411464214325,0.080810546875,0.4920300841331482,1404,0.0019590573,0.0001412790734320879,0.09281152000000001,0.08056972082704306,0.0002320288,0.015270980075001717,-19.66,4179.52,,,,
64,5621,361472,353,-1.417634405195713,0.112548828125,0.5532511472702026,1408,0.0029662503,-0.00273879079031758,0.09279104,0.05974988779053092,0.0002319776,0.00963696651160717,-19.66,4179.52,,,,
64,5635,362496,354,-1.3850322365760803,0.083984375,0.5820485353469849,1412,0.0017926471,-0.00036546503542922437,0.09277056,0.061730469577014446,0.0002319264,0.02550031989812851,-19.68,4179.68,,,,
64,5649,363520,355,-1.409520260989666,0.008056640625,0.6175012588500977,1416,0.0005626105,0.00015648988483007997,0.09275008000000001,0.08725693263113499,0.0002318752,0.020343855023384094,-19.68,4179.68,,,,
64,5663,364544,356,-1.3661781996488571,0.10400390625,0.48854249715805054,1420,0.002634754,-0.0029864790849387646,0.09272960000000001,0.08728280942887068,0.000231824,0.01728103682398796,-19.69,4177.01,,,,
